Date, Close/Last, Volume, Open, High, Low
1.7320658745871418,273.36,0.6029879593357405,2.3545364805156903,2.6609526190078174,2.375093787855226
1.731118030427323,273.52,0.1337213320413955,2.7483590899155206,2.7851298524605417,2.65125699638736
1.7301701862675043,292.65,-0.40448097682668144,2.8380594577444236,2.9794942178648056,2.876648789246015
1.7292223421076856,288.08,-0.2633657000420474,3.0762692743360995,3.0555711790710203,2.8704896339020194
1.7282744979478668,298.18,-0.30080007839121137,3.0153126707838607,3.0825662298216128,2.9220933678652274
1.7254309654684106,313.05,-0.7091797872344415,3.368167156387064,3.3487537908592713,3.27616156831601
1.7244831213085918,320.3,-0.8378436069808829,3.434409969461448,3.417468465497142,3.4045050485922452
1.723535277148773,323.62,-0.8669058375572604,3.3909639349513157,3.4161596145516593,3.4343020433645495
1.7225874329889543,319.0,-0.6073757914081186,3.314313896880208,3.3373013450862925,3.3445781317317467
1.7187960563496794,324.95,-0.9281482848455082,3.469265913498094,3.439228112465802,3.4817441858791116
1.7178482121898606,324.87,-0.8635342302542943,3.4601802408819067,3.443154665302252,3.4900673687764034
1.7169003680300419,327.2,-0.7797177328968329,3.4152474599436715,3.459515302120793,3.458772201082587
1.7159525238702233,319.61,-0.8654083070008513,3.4504337920754513,3.4051979878832364,3.412828231489537
1.7150046797104046,321.55,-0.7990634115731228,3.294820999267297,3.3667504913596664,3.331926893727864
1.7121611472309484,320.03,-0.7622602602800511,3.430114924224705,3.397017669473966,3.4010093117753835
1.7112133030711296,325.21,-0.8163864791004569,3.4334188051760455,3.426794028483711,3.438710001026955
1.7102654589113109,321.45,-0.757214152775963,3.4491122396949145,3.4192681355471817,3.416823359280237
1.7093176147514921,318.85,-0.6786655931359226,3.313487926642373,3.335501675036253,3.3283396018991307
1.7083697705916734,308.66,-0.5136657725058565,3.131609280271059,3.2348837586022277,3.138329659536862
1.7055262381122172,309.51,-0.40061890574789905,3.406326981375051,3.3852380109646174,3.2393730999099817
1.7045783939523984,323.87,-0.7222601753153719,3.3999504911389624,3.408306508878759,3.4134940861213208
1.7036305497925797,324.34,-0.32550694825039966,3.4644752861186494,3.4698225033164736,3.4572740281610743
1.702682705632761,317.69,-0.5655540847712136,3.2687203397517046,3.3152144853812624,3.3042939265088553
1.7017348614729422,308.95,-0.5668518621657759,3.2267610516696754,3.206743463274337,3.1826089925504526
